Genes,FC_mem_KO_mem WT
Gm4841,1.686868687
1700001K19Rik,1.686507937
Slc13a5,1.686440678
Clec7a,1.685953878
B4galnt3,1.685185185
Ifi204,1.685134608
Olfr1372-ps1,1.684931507
Eaf2,1.683257919
Phyhd1,1.682352941
Zmiz1os1,1.682302772
Mal,1.680555556
Kprp,1.680473373
Irx3os,1.68
A830010M20Rik,1.679487179
Col1a1,1.678899083
Rhov,1.678899083
Kremen2,1.67826087
Bsx,1.677419355
Ndst3,1.677018634
Trim7,1.676605505
Tsen2,1.676470588
Tmem221,1.676190476
Nlrp5,1.676056338
Glt1d1,1.675438596
Gm9930,1.675159236
Mzb1,1.675064267
Sucnr1,1.675
Olfr1393,1.674740484
Mapk12,1.674418605
Phf2os1,1.674418605
Gm5814,1.674242424
Gm44918,1.674157303
Otos,1.674157303
Nid2,1.673913043
Lsr,1.673267327
Ripk4,1.673267327
Tssk5,1.673267327
Ccdc92b,1.673076923
Loxl3,1.672661871
Camk2b,1.671546136
Gm17259,1.671428571
Col27a1,1.670068027
F2,1.669603524
Fcgbp,1.668965517
Glra3,1.668449198
Ly86,1.667668527
Pter,1.667296786
9430091E24Rik,1.666666667
Stpg1,1.666666667
Zic3,1.666666667
Zscan4-ps1,1.666666667
Olfr303,1.666666667
Tmem44,1.665970772
Btbd6,1.665413534
Runx1t1,1.665338645
Olfr103,1.665158371
Cd3e,1.664933564
Ghsr,1.664652568
Aldob,1.663551402
Clec4a1,1.663500678
Btla,1.662740236
Tnxb,1.662601626
Fmod,1.662251656
Tmem233,1.660714286
Upb1,1.660714286
